state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8295590767235106	0.009778718001407989	0.013865135663038044	0.0020748190867089485	0.0	0.07387109604144716	0.04516193712477114	0.014742163295734304	0.009811568928424969	0.0011354851349568828
2	0.003639396192213123	0.7943468323213918	0.18495086679427306	0.007151141907096635	0.0	0.009242271477539508	0.0	5.775798924547541E-4	2.5448004089625644E-6	8.936661462228027E-5
3	0.0021546536721905214	0.07781343788228635	0.8850690601871783	0.004756214719560074	8.996038923419877E-4	0.028565218397507124	0.0	6.152097269675991E-4	9.381065590719734E-5	3.279086606091441E-5
4	0.0010911252830352405	0.010297663734753257	0.01591837734738421	0.791929391002377	0.1661897364599802	0.010185855245013378	0.0	0.001302843410165664	1.7660340931476E-4	0.002908404107976204
5	0.0	0.0	8.363582707356833E-4	0.04603524859708874	0.9082124123141473	0.04016402951348461	0.0	0.0033265497277897658	3.792767046528647E-5	0.0013874739062886
6	0.003109161772374422	0.001032758407457512	0.00754375223316278	8.062244088743168E-4	0.011379576647256725	0.9551703710198981	0.005241170262687312	0.014741776410148922	7.508588087740515E-4	2.2435002936573405E-4
7	0.00931935882394945	0.0	0.0	0.0	0.0	0.025456689969976725	0.9442718928133932	0.013103349481561902	0.007084485427576033	7.642234835426582E-4
8	0.00482753096712212	5.034836703609001E-4	0.001347577365400535	8.282291155991765E-4	0.007377752982982516	0.11488784562543462	0.021015923143019567	0.7906449079785479	0.048414440155912855	0.010152308995619799
9	0.005029520688983239	7.583777521663964E-7	2.956224794724239E-4	1.7512205136283743E-4	1.2170025930521904E-4	0.009140562149948685	0.01735741842580683	0.07356229459025716	0.8840351863641565	0.01028181461295495
10	0.0013887699169176013	3.51486446386946E-4	2.668301137337096E-4	0.006547947769949594	0.01145787283577477	0.006308763799316796	0.004813160381147457	0.038004033859098584	0.025198612588690855	0.9056625222889837
